iter	Passed	Remaining
419	2451	3385
420	2456	3378
421	2462	3372
422	2467	3365
423	2472	3359
424	2478	3353
425	2483	3346
426	2488	3339
427	2494	3333
428	2499	3326
429	2504	3320
430	2510	3314
431	2515	3307
432	2521	3301
433	2526	3295
434	2532	3289
435	2538	3283
436	2544	3278
437	2550	3272
438	2555	3266
439	2561	3260
440	2567	3254
441	2572	3247
442	2578	3241
443	2583	3235
444	2589	3229
445	2595	3223
446	2600	3217
447	2605	3210
448	2611	3205
449	2616	3197
450	2621	3190
451	2626	3184
452	2632	3178
453	2637	3171
454	2643	3165
455	2648	3159
456	2654	3154
457	2660	3148
458	2665	3141
459	2670	3135
460	2676	3129
461	2682	3124
462	2689	3119
463	2695	3113
464	2702	3109
465	2707	3103
466	2713	3097
467	2719	3091
468	2725	3085
469	2730	3079
470	2738	3075
471	2744	3070
472	2751	3065
473	2757	3059
474	2764	3055
475	2771	3051
476	2785	3054
477	2797	3055
478	2807	3053
479	2814	3049
480	2827	3050
481	2845	3058
482	2856	3057
483	2864	3054
484	2881	3059
485	2890	3057
486	2899	3054
487	2911	3054
488	2921	3052
489	2931	3051
490	2939	3047
491	2948	3044
492	2959	3043
493	2966	3038
494	2974	3035
495	2981	3029
496	2990	3026
497	2997	3021
498	3006	3018
499	3013	3013
500	3022	3010
501	3028	3004
502	3036	3000
503	3043	2995
504	3051	2990
505	3059	2986
506	3068	2983
507	3075	2978
508	3083	2974
509	3090	2969
510	3096	2963
511	3108	2962
512	3119	2961
513	3128	2958
514	3137	2955
515	3153	2957
516	3165	2957
517	3175	2954
518	3184	2950
519	3192	2946
520	3201	2943
521	3209	2939
522	3219	2936
523	3226	2931
524	3234	2926
525	3249	2928
526	3257	2923
527	3267	2920
528	3275	2916
529	3283	2911
530	3292	2907
531	3300	2903
532	3309	2900
533	3319	2896
534	3326	2891
535	3337	2889
536	3354	2892
537	3365	2890
538	3375	2886
539	3388	2886
540	3400	2885
541	3410	2881
542	3419	2877
543	3428	2874
544	3438	2870
545	3450	2869
546	3461	2866
547	3478	2869
548	3494	2870
549	3505	2867
550	3520	2869
551	3547	2879
552	3573	2888
553	3591	2891
554	3615	2898
555	3628	2897
556	3639	2894
557	3652	2893
558	3661	2888
559	3671	2884
560	3680	2880
561	3689	2875
562	3698	2870
563	3708	2866
564	3719	2863
565	3727	2857
566	3735	2852
567	3743	2846
568	3749	2840
569	3758	2835
570	3765	2829
571	3772	2822
572	3780	2817
573	3789	2812
574	3805	2812
575	3813	2807
576	3821	2801
577	3829	2795
578	3837	2790
579	3846	2785
580	3854	2779
581	3861	2773
582	3867	2766
583	3874	2760
584	3881	2753
585	3888	2747
586	3895	2740
587	3901	2733
588	3908	2727
589	3915	2720
590	3921	2713
591	3927	2706
592	3934	2700
593	3941	2693
594	3948	2687
595	3954	2680
596	3960	2673
597	3967	2666
598	3974	2660
599	3980	2653
600	3988	2647
601	3994	2641
602	4001	2634
603	4009	2628
604	4016	2622
605	4023	2616
606	4030	2609
607	4037	2603
608	4044	2596
609	4051	2590
610	4058	2584
611	4065	2577
612	4073	2571
613	4080	2564
614	4086	2558
615	4093	2551
616	4098	2544
617	4106	2538
618	4114	2532
619	4121	2526
620	4128	2519
621	4136	2513
622	4143	2507
623	4152	2501
624	4159	2495
625	4165	2488
626	4173	2482
627	4179	2475
628	4187	2469
629	4194	2463
630	4200	2456
631	4206	2449
632	4213	2443
633	4221	2436
634	4227	2430
635	4234	2423
636	4241	2416
637	4247	2410
638	4254	2403
639	4260	2396
640	4266	2389
641	4272	2382
642	4278	2375
643	4284	2368
644	4291	2361
645	4297	2354
646	4303	2347
647	4309	2340
648	4315	2334
649	4321	2327
650	4327	2319
651	4333	2312
652	4339	2305
653	4344	2298
654	4351	2292
655	4357	2285
656	4364	2278
657	4370	2271
658	4375	2264
659	4382	2257
660	4388	2250
661	4394	2243
662	4401	2237
663	4407	2230
664	4413	2223
665	4419	2216
666	4425	2209
667	4431	2202
668	4437	2195
669	4442	2188
670	4448	2181
671	4454	2174
672	4459	2166
673	4466	2160
