iter	RMSE
379	3.822664367
380	3.822179503
381	3.821801881
382	3.820941419
383	3.819732922
384	3.819158808
385	3.81851634
386	3.817527297
387	3.816351939
388	3.815821628
389	3.815249729
390	3.814777431
391	3.813869305
392	3.8131593
393	3.812612274
394	3.810822097
395	3.810152299
396	3.809470064
397	3.80919719
398	3.808146991
399	3.807379302
400	3.806216748
401	3.805641771
402	3.805059673
403	3.804369262
404	3.803060588
405	3.801989853
406	3.801358347
407	3.800747689
408	3.799952242
409	3.799372129
410	3.79888633
411	3.797982939
412	3.796705887
413	3.7961198
414	3.795721355
415	3.794680332
416	3.794168228
417	3.793346112
418	3.792596669
419	3.791731435
420	3.790844022
421	3.790027658
422	3.789729848
423	3.789205078
424	3.787549045
425	3.786960952
426	3.78626464
427	3.785549947
428	3.785002072
429	3.784170889
430	3.783044327
431	3.782784492
432	3.782060921
433	3.781445217
434	3.780721365
435	3.780444716
436	3.779696221
437	3.778946135
438	3.778288928
439	3.77769655
440	3.777030703
441	3.776779487
442	3.775844671
443	3.775151858
444	3.774071829
445	3.773542546
446	3.772892417
447	3.771956646
448	3.770790462
449	3.769775111
450	3.769559309
451	3.769101451
452	3.768365256
453	3.767834248
454	3.766143241
455	3.765600992
456	3.764258106
457	3.763553816
458	3.762980957
459	3.762527726
460	3.762034679
461	3.761298229
462	3.760536063
463	3.760187168
464	3.759405456
465	3.758983273
466	3.75809541
467	3.757338981
468	3.756919893
469	3.756314241
470	3.755755716
471	3.75555969
472	3.754851633
473	3.753662531
474	3.753031563
475	3.752343956
476	3.751029973
477	3.749856085
478	3.748671376
479	3.748024583
480	3.747245018
481	3.747007327
482	3.745947931
483	3.745170896
484	3.744673528
485	3.744163775
486	3.743489035
487	3.742453004
488	3.742038553
489	3.741542059
490	3.740933155
491	3.740352713
492	3.738946395
493	3.738624872
494	3.737842659
495	3.737410202
496	3.736183644
497	3.735258332
498	3.734507366
499	3.734077992
500	3.733551966
501	3.733243958
502	3.732610216
503	3.731730231
504	3.731391629
505	3.731024578
506	3.730442071
507	3.729864663
508	3.729430966
509	3.729206527
510	3.728317626
511	3.7266989
512	3.725798963
513	3.724776008
514	3.724118318
515	3.723284769
516	3.72274998
517	3.721896543
518	3.721386958
519	3.720684277
520	3.71974035
521	3.718848975
522	3.718451283
523	3.717671723
524	3.717329316
525	3.71707193
526	3.716746421
527	3.715975925
528	3.714794395
529	3.714258899
530	3.713565277
531	3.712847126
532	3.712239595
533	3.711194256
534	3.71079078
535	3.710209624
536	3.709770962
537	3.708761565
538	3.708292973
539	3.707863402
540	3.706983413
541	3.706075945
542	3.705665381
543	3.704958224
544	3.704275243
545	3.703687604
546	3.703231594
547	3.702454702
548	3.70190443
549	3.701341446
550	3.70035367
551	3.699780874
552	3.699273924
553	3.698758205
554	3.698255752
555	3.697915776
556	3.697426415
557	3.696947791
558	3.696384191
559	3.695635373
560	3.695023851
561	3.694439929
562	3.69362163
563	3.693096195
564	3.692518885
565	3.692039973
566	3.69154239
567	3.690546391
568	3.690378857
569	3.689005166
570	3.688682107
571	3.688205101
572	3.687821226
573	3.686712831
574	3.686275111
575	3.68537458
576	3.684936334
577	3.683616422
578	3.682706402
579	3.682143644
580	3.681830012
581	3.681266969
582	3.680780183
583	3.680209172
584	3.679449336
585	3.678918128
586	3.678238317
587	3.677969062
588	3.677505867
589	3.676930711
590	3.676028714
591	3.67550465
592	3.675131826
593	3.673625856
594	3.672729632
595	3.672071828
596	3.671454802
597	3.670974436
598	3.670500017
599	3.669586834
600	3.66889644
601	3.668406833
602	3.66778253
603	3.667020373
604	3.665929497
605	3.664834844
606	3.664113899
607	3.663415507
608	3.662810687
609	3.662459088
610	3.661195014
611	3.66060623
612	3.660155217
613	3.660046442
614	3.659443954
615	3.658823143
616	3.65750476
617	3.656597434
618	3.656039901
619	3.655482939
620	3.654930529
621	3.65405311
622	3.653119907
623	3.652351794
624	3.651773037
625	3.651431344
626	3.650913905
627	3.65077959
628	3.650242529
629	3.649237281
630	3.648452616
631	3.64818705
632	3.647942386
633	3.647127183
634	3.646227833
635	3.645627408
636	3.645170631
637	3.644659549
638	3.643878341
639	3.643468705
640	3.642991959
641	3.641964491
642	3.641656718
643	3.641181408
644	3.639654428
645	3.639140264
646	3.638286105
647	3.637850227
648	3.637315501
649	3.636559761
650	3.63574884
651	3.635294288
652	3.634052535
653	3.63327648
654	3.632906823
655	3.63144727
656	3.630809029
657	3.629902467
658	3.629346783
659	3.628700749
660	3.627975304
661	3.627557253
662	3.627278625
663	3.626210437
664	3.625897383
665	3.625444155
666	3.624881294
667	3.624415441
668	3.623830451
669	3.623291784
670	3.62285999
671	3.622188183
672	3.621669363
673	3.621459493
674	3.621028446
675	3.619934026
676	3.619810107
677	3.619337612
678	3.618825637
679	3.618275648
680	3.616952933
681	3.616292068
682	3.615642573
683	3.615158932
684	3.61460964
685	3.614102675
686	3.613698624
687	3.612966836
688	3.612605903
689	3.612133397
690	3.611926437
691	3.611645402
692	3.610910012
693	3.610400974
694	3.609489954
695	3.608823372
696	3.60828063
697	3.607241648
698	3.606867933
699	3.6062703
700	3.605429622
701	3.604920861
702	3.604521087
703	3.604170252
704	3.603783685
705	3.603396476
706	3.602888298
707	3.602086799
708	3.601430285
709	3.600893696
710	3.600294889
711	3.599973489
712	3.599815688
713	3.599285348
714	3.598584791
715	3.598110114
716	3.597454711
717	3.596581677
718	3.596272321
719	3.595849534
720	3.595249964
721	3.594887036
722	3.594512995
723	3.593918843
724	3.59329906
725	3.592658431
726	3.592092645
727	3.591687698
728	3.590689424
729	3.590170017
730	3.589683768
731	3.588972601
732	3.588054496
733	3.587439699
734	3.58673947
735	3.586179919
736	3.585333092
737	3.58493121
738	3.584503627
739	3.584135695
740	3.58346309
741	3.582347521
742	3.581674338
743	3.581366752
744	3.581045855
745	3.580148949
746	3.579731126
747	3.579249284
748	3.57891974
749	3.578608712
750	3.577892387
751	3.577687284
752	3.577062724
753	3.576753805
754	3.576276793
755	3.575713667
756	3.575391635
757	3.575066556
758	3.574720737
759	3.574413975
760	3.574001501
761	3.573745851
762	3.573162638
763	3.572841485
764	3.572448009
765	3.571787935
766	3.571157657
767	3.570694205
768	3.569726166
769	3.568883725
770	3.568549601
771	3.568227714
772	3.567601104
773	3.567169419
774	3.566507527
775	3.566165603
776	3.565973812
777	3.565477168
778	3.565068743
779	3.56463053
780	3.564137963
781	3.563592878
782	3.563058414
783	3.562777349
784	3.562158548
785	3.561852775
786	3.561269382
787	3.560928799
788	3.560635841
789	3.55979147
790	3.559302948
791	3.558676065
792	3.558213044
793	3.557534156
794	3.55703192
795	3.556599905
796	3.556559014
797	3.556162574
798	3.555659522
799	3.555391775
800	3.554626089
801	3.554276428
802	3.553764617
803	3.553426463
804	3.552961508
805	3.552583398
806	3.552163158
807	3.551808309
808	3.551172651
809	3.550654208
810	3.550119798
811	3.54952256
812	3.548778808
813	3.548454667
814	3.547725237
815	3.547119829
816	3.546807803
817	3.546408661
818	3.546126091
819	3.545704245
820	3.545331452
821	3.545019777
822	3.544445487
823	3.544044205
824	3.543884772
825	3.543631057
826	3.543166353
827	3.542727433
828	3.542171434
829	3.541599183
830	3.540825571
831	3.540299026
832	3.539927863
833	3.53943232
834	3.539121027
835	3.538502431
836	3.537888351
837	3.537212407
838	3.536762252
839	3.536276335
840	3.536001779
841	3.535488326
842	3.534975273
843	3.534362139
844	3.533740711
845	3.533274765
846	3.532658481
847	3.532190564
848	3.53153499
849	3.531157414
850	3.530768456
851	3.530752776
852	3.530539041
853	3.530153308
854	3.52987084
855	3.528990003
856	3.528720631
857	3.528104862
858	3.527699298
859	3.527477552
860	3.526926198
861	3.526491932
862	3.526091033
863	3.524860364
864	3.524451465
865	3.524040635
866	3.523407733
867	3.522725479
868	3.52240578
869	3.521990297
870	3.521673341
871	3.521200389
872	3.520604776
873	3.5202255
874	3.519715828
875	3.519015801
876	3.518325443
877	3.517664978
878	3.517423152
879	3.516792754
880	3.516483191
881	3.516103801
882	3.515550886
883	3.514306193
884	3.513941872
885	3.51373331
886	3.51330115
887	3.51277015
888	3.512154371
889	3.511248908
890	3.510963125
891	3.510457961
892	3.510194985
893	3.50959361
894	3.509186366
895	3.508852117
896	3.508404819
897	3.508160415
898	3.507574446
899	3.507162621
900	3.506413352
901	3.505948228
902	3.50550232
903	3.505127109
904	3.504874441
905	3.504576424
906	3.503553708
907	3.503377418
908	3.502696158
909	3.502395737
910	3.502016519
911	3.501261876
912	3.500808197
913	3.50030161
914	3.500190048
915	3.499644512
916	3.49910601
917	3.498564956
918	3.498362315
919	3.4980681
920	3.497376298
921	3.496976412
922	3.496386006
923	3.496136995
924	3.495657573
925	3.49533503
926	3.494611702
927	3.494083547
928	3.493849734
929	3.493293581
930	3.492772594
931	3.492450194
932	3.492051503
933	3.49156129
934	3.491080861
935	3.490878604
936	3.489756674
937	3.489174157
938	3.488771334
939	3.488301883
940	3.48768938
941	3.487297914
942	3.487037548
943	3.486553429
944	3.48611033
945	3.485748523
946	3.485195502
947	3.484870127
948	3.484378779
949	3.483656918
950	3.483334154
951	3.48297752
952	3.482319123
953	3.481897768
954	3.481325278
955	3.480888542
956	3.480435149
957	3.480127002
958	3.479795416
959	3.479653965
960	3.479248861
961	3.478499572
962	3.477967451
963	3.477315806
964	3.476757217
965	3.476378925
966	3.47615663
967	3.475621337
968	3.474858058
969	3.474496088
970	3.474310881
971	3.473944898
972	3.473641849
973	3.472953939
974	3.472520297
975	3.472244228
976	3.472056944
977	3.471760156
978	3.471315863
979	3.470905611
980	3.470288481
981	3.469804064
982	3.469577745
983	3.468718741
984	3.468182513
985	3.467748319
986	3.467371691
987	3.467068979
988	3.466589323
989	3.466132792
990	3.465672458
991	3.465166644
992	3.464960312
993	3.464604913
994	3.464329933
995	3.463881357
996	3.463470405
997	3.462927949
998	3.462544488
999	3.462212247
